id,title,color,fit,style,price,image
1,Red Minimal T-Shirt,red,oversized,minimal,899,1.jpg
2,Grey Graphic T-Shirt,grey,regular,graphic,699,10.jpg
3,White Casual T-Shirt,white,regular,casual,699,100.jpg
4,Red Casual T-Shirt,red,oversized,casual,699,1000.jpg
5,White Graphic T-Shirt,white,regular,graphic,599,1001.jpg
6,White Minimal T-Shirt,white,regular,minimal,599,1002.jpg
7,Red Casual T-Shirt,red,regular,casual,799,1003.jpg
8,Black Casual T-Shirt,black,oversized,casual,899,1004.jpg
9,Red Graphic T-Shirt,red,oversized,graphic,799,1005.jpg
10,Grey Graphic T-Shirt,grey,regular,graphic,899,1006.jpg
11,Red Minimal T-Shirt,red,regular,minimal,599,1007.jpg
12,Blue Minimal T-Shirt,blue,oversized,minimal,899,1008.jpg
13,Blue Graphic T-Shirt,blue,oversized,graphic,799,1009.jpg
14,White Casual T-Shirt,white,oversized,casual,899,101.jpg
15,Black Graphic T-Shirt,black,regular,graphic,699,1010.jpg
16,White Graphic T-Shirt,white,regular,graphic,799,1011.jpg
17,Red Casual T-Shirt,red,oversized,casual,799,1012.jpg
18,Grey Casual T-Shirt,grey,oversized,casual,899,1013.jpg
19,Red Graphic T-Shirt,red,regular,graphic,599,1014.jpg
20,Blue Minimal T-Shirt,blue,oversized,minimal,899,1015.jpg
21,Grey Casual T-Shirt,grey,oversized,casual,599,1016.jpg
22,White Casual T-Shirt,white,oversized,casual,799,1017.jpg
23,White Casual T-Shirt,white,oversized,casual,699,1018.jpg
24,White Graphic T-Shirt,white,oversized,graphic,899,1019.jpg
25,Grey Casual T-Shirt,grey,regular,casual,899,102.jpg
26,Blue Graphic T-Shirt,blue,oversized,graphic,599,1020.jpg
27,Blue Casual T-Shirt,blue,regular,casual,599,1021.jpg
28,Black Graphic T-Shirt,black,regular,graphic,599,1022.jpg
29,Blue Casual T-Shirt,blue,regular,casual,899,1023.jpg
30,Black Casual T-Shirt,black,regular,casual,799,1024.jpg
31,White Minimal T-Shirt,white,oversized,minimal,699,1025.jpg
32,White Casual T-Shirt,white,regular,casual,599,1026.jpg
33,Black Minimal T-Shirt,black,regular,minimal,599,1027.jpg
34,Black Casual T-Shirt,black,regular,casual,599,1028.jpg
35,White Casual T-Shirt,white,regular,casual,799,1029.jpg
36,Red Graphic T-Shirt,red,regular,graphic,699,103.jpg
37,White Casual T-Shirt,white,regular,casual,799,1030.jpg
38,Grey Minimal T-Shirt,grey,regular,minimal,799,1031.jpg
39,Black Graphic T-Shirt,black,oversized,graphic,699,1032.jpg
40,Blue Minimal T-Shirt,blue,oversized,minimal,599,1033.jpg
41,Red Minimal T-Shirt,red,oversized,minimal,899,1034.jpg
42,Grey Graphic T-Shirt,grey,regular,graphic,799,1035.jpg
43,Blue Graphic T-Shirt,blue,oversized,graphic,899,1036.jpg
44,Red Graphic T-Shirt,red,regular,graphic,799,1037.jpg
45,Grey Graphic T-Shirt,grey,oversized,graphic,599,1038.jpg
46,Grey Graphic T-Shirt,grey,regular,graphic,699,1039.jpg
47,Red Minimal T-Shirt,red,regular,minimal,799,104.jpg
48,Black Graphic T-Shirt,black,regular,graphic,799,1040.jpg
49,Black Casual T-Shirt,black,regular,casual,699,1041.jpg
